babbbc4bf711e4b46a1401364e824401|Material|assets/stdlibrary/material/defaultmaterial.mat|stdlibrary/material/defaultmaterial.ab
316622701a639664dafde02a9b9062c0|Text|assets/resources/shaders/brmobile/brmobilecommon_ld.cginc|stdlibrary/shaders
aa65b166b5649134b85541ae0c729543|Other|assets/resources/shaders/brmobile/brmobilecustomshadow.shader|stdlibrary/shaders
3825bd2c708f0554ea2859109c8688b6|Other|assets/resources/shaders/brmobile/brmobilecutoff.shader|stdlibrary/shaders
82e02a0f99e366c4482c6303378fb512|Other|assets/resources/shaders/brmobile/brmobilecutoffcolor.shader|stdlibrary/shaders
4617c9a8259fe094bb1092ab2a8c3b25|Other|assets/resources/shaders/brmobile/brmobilecutoffmodel.shader|stdlibrary/shaders
7ff7e4f63c32f244fbfc573d3d0c5fb9|Other|assets/resources/shaders/brmobile/brmobilecutofftwosidescolor.shader|stdlibrary/shaders
351c9b72bd1a6634b9e74584ea802682|Other|assets/resources/shaders/brmobile/brmobilecutofftwosidescolorgroup.shader|stdlibrary/shaders
bd6f62dd2f1533c42a00b47c2c66a7e6|Other|assets/resources/shaders/brmobile/brmobilecutoffvertexlit.shader|stdlibrary/shaders
f9b35447b02e0a948aa83c3f0d57d530|Other|assets/resources/shaders/brmobile/brmobilediffuse.shader|stdlibrary/shaders
3e97f20c35491ba448d99aaf6a8673cd|Other|assets/resources/shaders/brmobile/brmobilediffusecolor.shader|stdlibrary/shaders
1b10a33ec3ca89d43ab06034c1ef8a40|Other|assets/resources/shaders/brmobile/brmobilediffusecolorframetilling.shader|stdlibrary/shaders
86abb19b63689b540a8304883b294c1b|Other|assets/resources/shaders/brmobile/brmobilediffusecolorgroup.shader|stdlibrary/shaders
79a138e1596f4a2499e290ef97271a75|Other|assets/resources/shaders/brmobile/brmobilediffusecolortilling.shader|stdlibrary/shaders
2dff8c497c514ee4bae686ceec53587b|Other|assets/resources/shaders/brmobile/brmobilediffusecolortillingcombined.shader|stdlibrary/shaders
4faa37e2fe591fa46835b177b38aa9f0|Other|assets/resources/shaders/brmobile/brmobilediffusecolorwithambientmask.shader|stdlibrary/shaders
1f2a2d276e5fdc74ea7946554607b2db|Other|assets/resources/shaders/brmobile/brmobilediffusecolorwithambientmaskgroup.shader|stdlibrary/shaders
f7ac778c440b94748a2b073447844d35|Other|assets/resources/shaders/brmobile/brmobilediffusegroupshadow.shader|stdlibrary/shaders
284f901f2f1a83f41af0dacb4a1a78db|Other|assets/resources/shaders/brmobile/brmobilediffusegroupshadowrt.shader|stdlibrary/shaders
208408edf8883fe48b4beac668b44533|Other|assets/resources/shaders/brmobile/brmobilediffusemaskalpha.shader|stdlibrary/shaders
1b20d0dd41da28548b5967be06dc2785|Other|assets/resources/shaders/brmobile/brmobilediffusemaskalphablend.shader|stdlibrary/shaders
0f4916a9015749d419d25dde7bb5c121|Other|assets/resources/shaders/brmobile/brmobilediffusemaskcolor.shader|stdlibrary/shaders
a1d1688c266755e43bc0e54567ecef2e|Other|assets/resources/shaders/brmobile/brmobilediffusenight.shader|stdlibrary/shaders
03bd897d880e61a41b64a663e293f0dd|Other|assets/resources/shaders/brmobile/brmobilediffusenocastingshadow.shader|stdlibrary/shaders
66ed687a88721b045b99cd0929aa1171|Other|assets/resources/shaders/brmobile/brmobilediffusenoreceiveshadow.shader|stdlibrary/shaders
80851ebfdfea4b7ebb74bc77ee1add19|Other|assets/resources/shaders/brmobile/brmobilediffusepanv.shader|stdlibrary/shaders
d5f5a459cd0cde940855f372970c30a9|Other|assets/resources/shaders/brmobile/brmobilediffuseswitchnew.shader|stdlibrary/shaders
77a8e4df10835ab49a18a526fa35e2c3|Other|assets/resources/shaders/brmobile/brmobilediffusetwosidescolor.shader|stdlibrary/shaders
41229e83972e14549b935f19e7a39534|Other|assets/resources/shaders/brmobile/brmobilefartreeparadise.shader|stdlibrary/shaders
b1856d841fe06f142a68eb2269bba82d|Other|assets/resources/shaders/brmobile/brmobilefarwater.shader|stdlibrary/shaders
47859d7353ded694595dd140d60c021c|Other|assets/resources/shaders/brmobile/brmobilefresnel.shader|stdlibrary/shaders
8f0d694fc9907f047b11ebd536c2634c|Other|assets/resources/shaders/brmobile/brmobilefur.shader|stdlibrary/shaders
e6492ee7636879b4898fbdd30b408d22|Text|assets/resources/shaders/brmobile/brmobilefurcommon.cginc|stdlibrary/shaders
8a1773cb022dada4b8ed5da4c2a08146|Text|assets/resources/shaders/brmobile/brmobilefurpass.cginc|stdlibrary/shaders
44782eadc29777145970811abb289f0e|Other|assets/resources/shaders/brmobile/brmobileimagedepthblur.shader|stdlibrary/shaders
677359bfa5d240f4f9122de5ddf3f14c|Other|assets/resources/shaders/brmobile/brmobilemapluminance.shader|stdlibrary/shaders
f886d930b747e774887beb5c421566ff|Other|assets/resources/shaders/brmobile/brmobileparticleadd.shader|stdlibrary/shaders
d76d42e674e00cd479eeab4e5c0c5fcb|Other|assets/resources/shaders/brmobile/brmobileparticleadditiveortho.shader|stdlibrary/shaders
b985fdc9c0438384fb0d0f5e7adc31ae|Other|assets/resources/shaders/brmobile/brmobileparticlealphablend.shader|stdlibrary/shaders
47294e50ac33daf4a9d5c7508f3e5833|Other|assets/resources/shaders/brmobile/brmobileparticlealphablendortho.shader|stdlibrary/shaders
06382d2e5d0571d4bab6f9403444ca13|Other|assets/resources/shaders/brmobile/brmobileparticlemultiply.shader|stdlibrary/shaders
09a8cc49c309136409d889de8feee28b|Other|assets/resources/shaders/brmobile/brmobileplanereflection.shader|stdlibrary/shaders
5d9dd189d4a4fde4b85dee6904a63c2f|Other|assets/resources/shaders/brmobile/brmobileshallowwater.shader|stdlibrary/shaders
2d1039a5325321e4c96f70f19e94bd3a|Other|assets/resources/shaders/brmobile/brmobileskybox.shader|stdlibrary/shaders
c4c38c3ec5627e44da3471f229e9164e|Other|assets/resources/shaders/brmobile/brmobileskyboxblended.shader|stdlibrary/shaders
d3c8368ce9da7bd4aad0a908f6e825c3|Other|assets/resources/shaders/brmobile/brmobileunlitcutofftwosidescolor.shader|stdlibrary/shaders
7faac3284e6ec424992a24baca57b20d|Other|assets/resources/shaders/brmobile/brmobileunlitcutofftwosidescolorgroup.shader|stdlibrary/shaders
e96253c2222d45b408e1533190163ea8|Other|assets/resources/shaders/brmobile/brmobileunlitcutofftwosidescolormask.shader|stdlibrary/shaders
84c51e05df52341459c4a0cb7b63364a|Other|assets/resources/shaders/brmobile/brmobilevegetationparadisenew.shader|stdlibrary/shaders
00aacb4cf4e463d46abf09397bdb746a|Other|assets/resources/shaders/brmobile/brmobilevertexlit.shader|stdlibrary/shaders
3b179b405b6c1d94f85fee8eca8c29ef|Other|assets/resources/shaders/brmobile/decal/brmobilealphablenddecal.shader|stdlibrary/shaders
1926e393b846c6144ac9ec2ad1bdffac|Other|assets/resources/shaders/brmobile/decal/projectiondecal.shader|stdlibrary/shaders
af491ad8651890c4da7963904f671249|Other|assets/resources/shaders/brmobile/decal/quaddecal.shader|stdlibrary/shaders
3875a5d3362e2f9438012dfa6b6c2659|Other|assets/resources/shaders/brmobile/effect/effect_advanced.shader|stdlibrary/shaders
7048e57d9c718134e867aef0614e8469|Other|assets/resources/shaders/brmobile/effect/effect_bumpspecuvanim.shader|stdlibrary/shaders
1c088a2ba1e4c2c488e34f5bfbc54555|Other|assets/resources/shaders/brmobile/effect/effect_cartoon.shader|stdlibrary/shaders
30bee57ce26b75e439bbb02120157098|Other|assets/resources/shaders/brmobile/effect/effect_cutoffpanu.shader|stdlibrary/shaders
b0e2f1dfae1e8334281c2fec85676311|Other|assets/resources/shaders/brmobile/effect/effect_panuv 1.shader|stdlibrary/shaders
17de11a06cd800c469d1e3800bfff639|Other|assets/resources/shaders/brmobile/effect/effect_panuv.shader|stdlibrary/shaders
5f71b7ca1a2c02641a7a9d89db0b40e2|Other|assets/resources/shaders/brmobile/effect/effect_reflectspecularuvanim.shader|stdlibrary/shaders
097852bc5ec81fe4291f3662aee57729|Other|assets/resources/shaders/brmobile/effect_2tex_dissolve.shader|stdlibrary/shaders
224062b39b5ae8e498fed33255255541|Other|assets/resources/shaders/brmobile/environment/brmobileocean.shader|stdlibrary/shaders
8d511b46716b5f542b30ee9989faeb4f|Other|assets/resources/shaders/brmobile/environment/brmobilerivercaustics.shader|stdlibrary/shaders
c561d66c2af0bec4da6ce48a09c8fb37|Other|assets/resources/shaders/brmobile/environment/brmobilerock.shader|stdlibrary/shaders
dcfc8b4db208f0340a8c27edad1b0bd9|Other|assets/resources/shaders/brmobile/environment/brmobilerock_low.shader|stdlibrary/shaders
0515d0c313dbe1b419f45591c9622a62|Other|assets/resources/shaders/brmobile/environment/brmobilerockgroup.shader|stdlibrary/shaders
b99790888aee016418acafa3bad6f83f|Other|assets/resources/shaders/brmobile/environment/brmobilerockgroup_low.shader|stdlibrary/shaders
0c974ab8428438c43aa1339d2a3a217c|Other|assets/resources/shaders/brmobile/environment/brmobilesmallrockgroup.shader|stdlibrary/shaders
d69a1a0afc505b74c847c02855bfbec3|Other|assets/resources/shaders/brmobile/environment/brmobilesmallrockgroup_low.shader|stdlibrary/shaders
3203316b566ed5449a201417132af1c8|Other|assets/resources/shaders/brmobile/environment/gem.shader|stdlibrary/shaders
8886aa77c86e1dc468d72e27d917f252|Other|assets/resources/shaders/brmobile/environment/mobile_foam.shader|stdlibrary/shaders
dbc6f08ee4eab2f4389814ed5c37f69a|Other|assets/resources/shaders/brmobile/environment/road.shader|stdlibrary/shaders
2d9ec9079576fff4380674e0c18122e7|Other|assets/resources/shaders/brmobile/indirect/indirectdiffusecolor.shader|stdlibrary/shaders
6883b5d855e9a8f489496cde7d664aa7|Other|assets/resources/shaders/brmobile/internal/brmobile_particle_additive_clip 1.shader|stdlibrary/shaders
91f1909ee283a854d988e50372b150ca|Other|assets/resources/shaders/brmobile/internal/brmobile_particle_additive_clip 2.shader|stdlibrary/shaders
0c74f4ac3f60afc44a58df41cad312f8|Other|assets/resources/shaders/brmobile/internal/brmobile_particle_alphablend_clip 1.shader|stdlibrary/shaders
007d2d5d32301e643a9bb157dc84daaf|Other|assets/resources/shaders/brmobile/internal/brmobile_particle_alphablend_clip 2.shader|stdlibrary/shaders
38a9bf8d1b0c3454e8478231be9f9401|Other|assets/resources/shaders/brmobile/internal/brmobilecastshadowonly.shader|stdlibrary/shaders
59250bcc176378f4485c6a25ad7584e5|Other|assets/resources/shaders/brmobile/internal/brmobilecutofftwosidesundershadow.shader|stdlibrary/shaders
05f1c585582b1614aae36801737712f8|Other|assets/resources/shaders/brmobile/internal/brmobilecutoffundershadow.shader|stdlibrary/shaders
b62b87acef5c37748b71ef50a305cebc|Other|assets/resources/shaders/brmobile/internal/brmobilediffusetwosidesundershadow.shader|stdlibrary/shaders
e8242b3eda16afb46b3d33d291ad8058|Other|assets/resources/shaders/brmobile/internal/brmobilediffuseundershadow.shader|stdlibrary/shaders
a545c55a8a6bec04891cc0176cf6293a|Other|assets/resources/shaders/brmobile/internal/brmobileinternalcolor.shader|stdlibrary/shaders
534e4ddd4ce518a43a09d1df01bbc250|Other|assets/resources/shaders/brmobile/internal/diffusemaskalpha_clip 1.shader|stdlibrary/shaders
a9a470abfcf2ddd44ad959b322163b29|Other|assets/resources/shaders/brmobile/internal/diffusemaskalpha_clip 2.shader|stdlibrary/shaders
6eed5ce100d8b8d4c9d6adbe6ef18717|Other|assets/resources/shaders/brmobile/internal/effect_2tex_dis_additive_clip 1.shader|stdlibrary/shaders
e8d70093af74f7f4aa558210367234d6|Other|assets/resources/shaders/brmobile/internal/effect_2tex_dissolve_clip 1.shader|stdlibrary/shaders
9bd5d262e73334d44a334f5bc6ed5485|Other|assets/resources/shaders/brmobile/internal/effect_reflectspecularuvanim_transparency.shader|stdlibrary/shaders
c9ba05b9cdb01ff4ba2fc90c361aed12|Other|assets/resources/shaders/brmobile/internal/outlinepurecolor.shader|stdlibrary/shaders
a4df6dd7e8ef457cb46f728aef67729b|Other|assets/resources/shaders/brmobile/internal/prez.shader|stdlibrary/shaders
902e81c31b2f8294d901c10e96cb07ec|Other|assets/resources/shaders/brmobile/internal/scroll2tex_add_clip 1.shader|stdlibrary/shaders
e37a9cb3b462ee64d8e7042bd31738d8|Other|assets/resources/shaders/brmobile/internal/scroll2texbend_clip 1.shader|stdlibrary/shaders
d51d3d7baebc7674a8d47180cd4c9dd6|Other|assets/resources/shaders/brmobile/internal/separableblur.shader|stdlibrary/shaders
b740dfc237056f9429f124ede2517908|Other|assets/resources/shaders/brmobile/internal/shadowcasterforpc.shader|stdlibrary/shaders
593968f36461a0744a40560754e8fac0|Other|assets/resources/shaders/brmobile/internal/spine-skeleton_clip 1.shader|stdlibrary/shaders
c70c2d0632ada6842b9472720b716b48|Other|assets/resources/shaders/brmobile/internal/spine-skeleton_clip 2.shader|stdlibrary/shaders
3634c42d4f662354f8d8e5ec7722eba8|Other|assets/resources/shaders/brmobile/lobby/brmobilealphablendshadowcolor.shader|stdlibrary/shaders
489adc5015fcef1408216562ea8a8952|Other|assets/resources/shaders/brmobile/lobby/brmobilealphablendshadowcolor_closer.shader|stdlibrary/shaders
9d9de39b994ae8146b9914ae09ee332e|Other|assets/resources/shaders/brmobile/lobby/brmobilealphablendvertexcolor.shader|stdlibrary/shaders
c9c11e07bad807c448b14a3359ae5149|Other|assets/resources/shaders/brmobile/lobby/brmobileplannarshadow.shader|stdlibrary/shaders
a6bc14d2204f1134bba2248ba89c6226|Other|assets/resources/shaders/brmobile/lobby/cloth_vfx.shader|stdlibrary/shaders
5e77874b052e1da4a94052022d8dff1a|Other|assets/resources/shaders/brmobile/lobby/hair_vfx.shader|stdlibrary/shaders
bbe9381f0d8a9954e9d2274fe2d93c59|Other|assets/resources/shaders/brmobile/lobby/skin_vfx.shader|stdlibrary/shaders
a4fc587977208214695e8361e17942d2|Other|assets/resources/shaders/brmobile/particle/addtive.shader|stdlibrary/shaders
bbcd4008f1e620d4bb1ad9f7601fea81|Other|assets/resources/shaders/brmobile/particle/addtive_decal.shader|stdlibrary/shaders
5cdfa83669bbf0647a5725feef10afee|Other|assets/resources/shaders/brmobile/particle/alphablend.shader|stdlibrary/shaders
450b71e2ced61fd4ab504da16a043c6a|Other|assets/resources/shaders/brmobile/particle/alphablendgroup.shader|stdlibrary/shaders
5a20b65e2444a9242a1f17ae06d84997|Other|assets/resources/shaders/brmobile/particle/effect_2tex_maskrotation.shader|stdlibrary/shaders
09be05e94208c6945a25c5e308ba15a6|Other|assets/resources/shaders/brmobile/particle/lit_perparticle.shader|stdlibrary/shaders
f3378ed2a1172bf4bb78a8db7986779c|Other|assets/resources/shaders/brmobile/particle/ribbontrails.shader|stdlibrary/shaders
d1063609a990c634abc825bc039dce28|Other|assets/resources/shaders/brmobile/particle/scroll2tex_add.shader|stdlibrary/shaders
b27583371ce183a40b969600398c4788|Other|assets/resources/shaders/brmobile/particle/scroll2texbend.shader|stdlibrary/shaders
3dae07fa7bbc5ab40ab6c420cb52d2c3|Text|assets/resources/shaders/brmobile/pbr.cginc|stdlibrary/shaders
263e64ffd7492a64f8ff61ed621d18e1|Other|assets/resources/shaders/brmobile/plant/speedtree.shader|stdlibrary/shaders
bdaa072f119dc1143b6de1c57bfae7c3|Other|assets/resources/shaders/brmobile/special/dissolvepans.shader|stdlibrary/shaders
040e3dd821bae514592b01ef9374a16e|Other|assets/resources/shaders/brmobile/special/singleskybox.shader|stdlibrary/shaders
5ba32caa765c60442ba61566ce0e06e4|Other|assets/resources/shaders/brmobile/terrain/4map2normal1lightmapglobalrim_paradisesnow.shader|stdlibrary/shaders
12ea34072b37b794184c91256c809097|Other|assets/resources/shaders/brmobile/uifx/vfx_advanced.shader|stdlibrary/shaders
4a78454316ebc3c47a978b0597429221|Text|assets/resources/shaders/brmobile/uifx/vfxshadercommon.cginc|stdlibrary/shaders
eedbc3215408cbf45b258a9b3065b0f0|Other|assets/resources/shaders/custombuiltins/skybox-cubed-linearingamma.shader|stdlibrary/shaders
3fcf51c3d25aef74ba74933ed3860b38|Other|assets/resources/shaders/custombuiltins/skybox-procedural.shader|stdlibrary/shaders
ff3eae5a7d3669d47bee28958facf709|Other|assets/resources/shaders/events/brmobilepixelpaint.shader|stdlibrary/shaders
6e4ad096755d56d4fb89b2c051db5cd6|Other|assets/resources/shaders/events/sixthbcolorcore.shader|stdlibrary/shaders
4a93585f88a8f0044899a6e1413643f2|Other|assets/resources/shaders/preloadingshader.shadervariants|stdlibrary/shaders
3e1fd5b725dce3c4688710a2c8aa1586|Other|assets/resources/shaders/shaderstripsettings.asset|stdlibrary/shaders
8e17bc1b93d7f6c4592e8dadeccac6e7|Other|assets/resources/shaders/ugcshader/brmobilereflectionblinnphong_vertanim.shader|stdlibrary/shaders
fc9d478c767a20d46ad3e02f15ab12b9|Other|assets/resources/shaders/ugcshader/broneplaneboolean_ugc.shader|stdlibrary/shaders
f622c73f7950ef647a12d7612e7ea73e|Other|assets/resources/shaders/ugcshader/building_cartoon.shader|stdlibrary/shaders
67f302604ba180941992bd08b63e52d6|Other|assets/resources/shaders/ugcshader/reflectspecularugc.shader|stdlibrary/shaders
adad872cad28a7f45a4cfea65ebd14bb|Text|assets/resources/shaders/ugcshader/toonoutlineugc.cginc|stdlibrary/shaders
4ff636b76749a5d479150f450b6b4ab4|Other|assets/resources/shaders/ugcshader/toonoutlineugc.shader|stdlibrary/shaders
8bcedb047976c244e921242de522f078|Other|assets/resources/shaders/ugcshader/treeramphueugc.shader|stdlibrary/shaders
b65bdbcf5cb81dc428d028fe430d4ddd|Other|assets/resources/shaders/ugcshader/water_ugc.shader|stdlibrary/shaders
