ID,MonsterIDs,Amount,Timeinterval
35,"2,2,6,5,3,2,2,6,5,3","4,4,1,3,4,4,4,1,3,4","6,7,8,9,10,11,12,13,14,20"
36,"3,3,6,10,4,3,3,6,10,4","3,3,1,3,4,3,3,1,3,4","7,8,9,10,11,12,13,14,15,21"
37,"6,10,5,3,1,4,2,5,3","3,3,3,4,4,3,3,3,4","9,10,11,12,13,14,15,16,0"
38,"6,1,1,6,1,6,1,1,1,1","1,5,5,1,5,1,5,5,5,5","7,8,9,10,11,12,13,14,15,21"
39,"1,2,3,4,5,6,10,5,4,3","4,4,3,3,4,3,3,3,3,4","2,3,4,5,6,7,8,9,10,6"
40,"10,10,1,4,1,10,4,1,4","3,3,4,3,4,3,3,4,3","5,6,7,8,9,10,11,12,0"
41,"1,4,1,4,1,4,1","5,3,4,3,4,3,4","5,6,7,8,9,10,15"
42,"2,1,2,4,2,1,2,1","4,3,3,3,3,4,3,3","4,5,6,7,8,9,10,11"
43,"4,5,4,1,5,4,1,4","3,3,3,4,3,3,4,3","3,4,5,6,7,8,9,18"
44,"3,2,3,4,2,3,1,2","3,4,3,3,4,3,5,3","4,5,6,7,8,9,10,11"
45,"10,1,10,4,1,10,4,1","3,5,3,3,5,3,3,5","5,6,7,8,9,10,11,4"
46,"2,3,4,10,1,4,3,2,1","3,3,3,3,4,3,3,4,4","3,4,5,6,7,8,9,10,8"
47,"5,2,3,1,4,5,2,3,1","3,4,3,4,3,3,4,3,3","4,5,6,7,8,9,10,11,0"
48,"10,10,1,4,1,10,4,1,4","3,3,4,3,4,3,3,4,3","5,6,7,8,9,10,11,12,0"
49,"6,2,4,1,2,4,1,2,4","3,4,3,4,3,3,4,3,3","6,7,8,9,10,11,12,13,0"
50,"6,3,5,1,4,3,5,1,4","3,3,3,4,3,3,3,4,4","7,8,9,10,11,12,13,14,0"
51,"6,6,4,1,2,4,1,2,4","3,3,4,4,3,3,4,3,3","8,9,10,11,12,13,14,15,0"
52,"6,10,5,3,1,4,2,5,3","3,3,3,4,4,3,3,3,4","9,10,11,12,13,14,15,16,0"
53,"1,1,1,4,4,1,1,4,4,1","4,4,4,3,3,4,4,3,3,4","2,3,4,5,6,7,8,9,10,12"
54,"2,2,2,1,1,2,2,1,1,2","4,4,4,4,4,4,4,4,4,4","3,4,5,6,7,8,9,10,11,13"
55,"4,4,4,1,1,4,4,1,1,4","3,3,3,5,5,3,3,5,5,3","4,5,6,7,8,9,10,11,12,18"
56,"3,3,2,4,1,3,2,4,1,3","3,3,4,3,5,3,4,3,5,3","5,6,7,8,9,10,11,12,13,15"
57,"10,10,10,1,1,10,1,1,10,1","3,3,3,5,5,3,5,5,3,5","6,7,8,9,10,11,12,13,14,20"
58,"5,5,2,3,1,5,2,3,1,5","3,3,4,3,5,3,4,3,5,3","7,8,9,10,11,12,13,14,15,22"
59,"1,2,3,4,5,1,2,3,4,5","4,4,3,3,4,4,4,3,3,4","3,4,5,6,7,8,9,10,11,13"
60,"2,4,6,1,10,2,4,6,1,10","4,3,3,5,3,4,3,3,5,3","4,5,6,7,8,9,10,11,12,18"
61,"4,1,5,2,3,4,1,5,2,3","3,5,3,4,3,3,5,3,4,3","4,5,6,7,8,9,10,11,12,18"
62,"3,4,5,6,10,3,4,5,6,10","3,3,3,3,4,3,3,3,3,4","5,6,7,8,9,10,11,12,13,19"
63,"10,4,1,5,2,10,4,1,5,2","3,4,5,3,4,3,4,5,3,4","6,7,8,9,10,11,12,13,14,20"
64,"6,1,1,1,1,6,1,1,1,1","3,5,5,5,5,3,5,5,5,5","7,8,9,10,11,12,13,14,15,21"
